Date,Injected,Country
"Tuesday, December 1, 2020",0,Burundi
"Wednesday, December 2, 2020",0,Burundi
"Thursday, December 3, 2020",0,Burundi
"Friday, December 4, 2020",0,Burundi
"Saturday, December 5, 2020",0,Burundi
"Sunday, December 6, 2020",0,Burundi
"Monday, December 7, 2020",0,Burundi
"Tuesday, December 8, 2020",0,Burundi
"Wednesday, December 9, 2020",0,Burundi
"Thursday, December 10, 2020",0,Burundi
"Friday, December 11, 2020",0,Burundi
"Saturday, December 12, 2020",0,Burundi
"Sunday, December 13, 2020",0,Burundi
"Monday, December 14, 2020",0,Burundi
"Tuesday, December 15, 2020",0,Burundi
"Wednesday, December 16, 2020",0,Burundi
"Thursday, December 17, 2020",0,Burundi
"Friday, December 18, 2020",0,Burundi
"Saturday, December 19, 2020",0,Burundi
"Sunday, December 20, 2020",0,Burundi
"Monday, December 21, 2020",0,Burundi
"Tuesday, December 22, 2020",0,Burundi
"Wednesday, December 23, 2020",0,Burundi
"Thursday, December 24, 2020",0,Burundi
"Friday, December 25, 2020",0,Burundi
"Saturday, December 26, 2020",0,Burundi
"Sunday, December 27, 2020",0,Burundi
"Monday, December 28, 2020",0,Burundi
"Tuesday, December 29, 2020",0,Burundi
"Wednesday, December 30, 2020",0,Burundi
"Thursday, December 31, 2020",0,Burundi
"Friday, January 1, 2021",0,Burundi
"Saturday, January 2, 2021",0,Burundi
"Sunday, January 3, 2021",0,Burundi
"Monday, January 4, 2021",0,Burundi
"Tuesday, January 5, 2021",0,Burundi
"Wednesday, January 6, 2021",0,Burundi
"Thursday, January 7, 2021",0,Burundi
"Friday, January 8, 2021",0,Burundi
"Saturday, January 9, 2021",0,Burundi
"Sunday, January 10, 2021",0,Burundi
"Monday, January 11, 2021",0,Burundi
"Tuesday, January 12, 2021",0,Burundi
"Wednesday, January 13, 2021",0,Burundi
"Thursday, January 14, 2021",0,Burundi
"Friday, January 15, 2021",0,Burundi
"Saturday, January 16, 2021",0,Burundi
"Sunday, January 17, 2021",0,Burundi
"Monday, January 18, 2021",0,Burundi
"Tuesday, January 19, 2021",0,Burundi
"Wednesday, January 20, 2021",0,Burundi
"Thursday, January 21, 2021",0,Burundi
"Friday, January 22, 2021",0,Burundi
"Saturday, January 23, 2021",0,Burundi
"Sunday, January 24, 2021",0,Burundi
"Monday, January 25, 2021",0,Burundi
"Tuesday, January 26, 2021",0,Burundi
"Wednesday, January 27, 2021",0,Burundi
"Thursday, January 28, 2021",0,Burundi
"Friday, January 29, 2021",0,Burundi
"Saturday, January 30, 2021",0,Burundi
"Sunday, January 31, 2021",0,Burundi
"Monday, February 1, 2021",0,Burundi
"Tuesday, February 2, 2021",0,Burundi
"Wednesday, February 3, 2021",0,Burundi
"Thursday, February 4, 2021",0,Burundi
"Friday, February 5, 2021",0,Burundi
"Saturday, February 6, 2021",0,Burundi
"Sunday, February 7, 2021",0,Burundi
"Monday, February 8, 2021",0,Burundi
"Tuesday, February 9, 2021",0,Burundi
"Wednesday, February 10, 2021",0,Burundi
"Thursday, February 11, 2021",0,Burundi
"Friday, February 12, 2021",0,Burundi
"Saturday, February 13, 2021",0,Burundi
"Sunday, February 14, 2021",0,Burundi
"Monday, February 15, 2021",0,Burundi
"Tuesday, February 16, 2021",0,Burundi
"Wednesday, February 17, 2021",0,Burundi
"Thursday, February 18, 2021",0,Burundi
"Friday, February 19, 2021",0,Burundi
"Saturday, February 20, 2021",0,Burundi
"Sunday, February 21, 2021",0,Burundi
"Monday, February 22, 2021",0,Burundi
"Tuesday, February 23, 2021",0,Burundi
"Wednesday, February 24, 2021",0,Burundi
"Thursday, February 25, 2021",0,Burundi
"Friday, February 26, 2021",0,Burundi
"Saturday, February 27, 2021",0,Burundi
"Sunday, February 28, 2021",0,Burundi
"Monday, March 1, 2021",0,Burundi
"Tuesday, March 2, 2021",0,Burundi
"Wednesday, March 3, 2021",0,Burundi
"Thursday, March 4, 2021",0,Burundi
"Friday, March 5, 2021",0,Burundi
"Saturday, March 6, 2021",0,Burundi
"Sunday, March 7, 2021",0,Burundi
"Monday, March 8, 2021",0,Burundi
"Tuesday, March 9, 2021",0,Burundi
"Wednesday, March 10, 2021",0,Burundi
"Thursday, March 11, 2021",0,Burundi
"Friday, March 12, 2021",0,Burundi
"Saturday, March 13, 2021",0,Burundi
"Sunday, March 14, 2021",0,Burundi
"Monday, March 15, 2021",0,Burundi
"Tuesday, March 16, 2021",0,Burundi
"Wednesday, March 17, 2021",0,Burundi
"Thursday, March 18, 2021",0,Burundi
"Friday, March 19, 2021",0,Burundi
"Saturday, March 20, 2021",0,Burundi
"Sunday, March 21, 2021",0,Burundi
"Monday, March 22, 2021",0,Burundi
"Tuesday, March 23, 2021",0,Burundi
"Wednesday, March 24, 2021",0,Burundi
"Thursday, March 25, 2021",0,Burundi
"Friday, March 26, 2021",0,Burundi
"Saturday, March 27, 2021",0,Burundi
"Sunday, March 28, 2021",0,Burundi
"Monday, March 29, 2021",0,Burundi
"Tuesday, March 30, 2021",0,Burundi
"Wednesday, March 31, 2021",0,Burundi
"Thursday, April 1, 2021",0,Burundi
"Friday, April 2, 2021",0,Burundi
"Saturday, April 3, 2021",0,Burundi
"Sunday, April 4, 2021",0,Burundi
"Monday, April 5, 2021",0,Burundi
"Tuesday, April 6, 2021",0,Burundi
"Wednesday, April 7, 2021",0,Burundi
"Thursday, April 8, 2021",0,Burundi
"Friday, April 9, 2021",0,Burundi
"Saturday, April 10, 2021",0,Burundi
"Sunday, April 11, 2021",0,Burundi
"Monday, April 12, 2021",0,Burundi
"Tuesday, April 13, 2021",0,Burundi
"Wednesday, April 14, 2021",0,Burundi
"Thursday, April 15, 2021",0,Burundi
"Friday, April 16, 2021",0,Burundi
"Saturday, April 17, 2021",0,Burundi
"Sunday, April 18, 2021",0,Burundi
"Monday, April 19, 2021",0,Burundi
"Tuesday, April 20, 2021",0,Burundi
"Wednesday, April 21, 2021",0,Burundi
"Thursday, April 22, 2021",0,Burundi
"Friday, April 23, 2021",0,Burundi
"Saturday, April 24, 2021",0,Burundi
"Sunday, April 25, 2021",0,Burundi
"Monday, April 26, 2021",0,Burundi
"Tuesday, April 27, 2021",0,Burundi
"Wednesday, April 28, 2021",0,Burundi
"Thursday, April 29, 2021",0,Burundi
"Friday, April 30, 2021",0,Burundi
"Saturday, May 1, 2021",0,Burundi
"Sunday, May 2, 2021",0,Burundi
"Monday, May 3, 2021",0,Burundi
"Tuesday, May 4, 2021",0,Burundi
"Wednesday, May 5, 2021",0,Burundi
"Thursday, May 6, 2021",0,Burundi
"Friday, May 7, 2021",0,Burundi
"Saturday, May 8, 2021",0,Burundi
"Sunday, May 9, 2021",0,Burundi
